subject_id,sweep_type,model,context_length,horizon,rr_context_beats,rr_horizon_beats,rmse,mae,window_rmse_mean,window_mae_mean,num_windows,num_series,rr_rmse,rr_mae,rr_window_rmse_mean,rr_window_mae_mean,rr_ks_mean,rr_ks_cutoff_mean,rr_ks_pass_rate,waveform_rr_rmse,waveform_rr_mae,waveform_rr_window_rmse_mean,waveform_rr_window_mae_mean,waveform_rr_ks_mean,waveform_rr_ks_cutoff_mean,waveform_rr_ks_pass_rate
19090,waveform_context,TimesFM,2048,256,2048,256,0.22498668730258942,0.1109880581498146,0.1927808484470006,0.11098805941583123,32,64,45.71683883666992,27.506324768066406,28.323971435427666,27.50632479786873,0.697265625,NA,NA,16.736358642578125,9.715447425842285,12.485368877649307,10.881944447755814,0.6597222222222222,NA,NA
19090,waveform_context,Chronos-2,2048,256,2048,256,0.26113399863243103,0.11091966927051544,0.1975451606849674,0.11091966950334609,32,64,50.86290740966797,35.448299407958984,38.06906245648861,35.44829960167408,0.6854248046875,NA,NA,12.769055366516113,5.796748161315918,6.879819696253919,5.783687949814695,0.7056737588652482,NA,NA
19090,waveform_context,Moirai 2.0,2048,256,2048,256,0.21848487854003906,0.11379921436309814,0.1952551589347422,0.11379922280320898,32,64,62.885772705078125,52.11442565917969,57.884910851716995,52.1144243478775,0.738037109375,NA,NA,20.433319091796875,15.794520378112793,20.305415425981796,18.51904764175415,0.8571428571428571,NA,NA
19090,waveform_context,TimesFM,2048,512,2048,512,0.23758505284786224,0.12666267156600952,0.21681728883413598,0.12666268403700087,32,64,33.01197052001953,19.970247268676758,20.92216047644615,19.970247015357018,0.8253173828125,NA,NA,15.01938533782959,8.698996543884277,12.467925882765226,10.057440440569605,0.5595238095238095,NA,NA
19090,waveform_context,Chronos-2,2048,512,2048,512,0.28407925367355347,0.13051292300224304,0.2170606140862219,0.1305129185784608,32,64,44.47119140625,32.080841064453125,40.040097653865814,32.080840051174164,0.54193115234375,NA,NA,15.474034309387207,8.4457368850708,12.006653909249739,8.676969663663344,0.5945454545454546,NA,NA
19090,waveform_context,Moirai 2.0,2048,512,2048,512,0.23036736249923706,0.1289924532175064,0.21540828538127244,0.128992453974206,32,64,66.17023468017578,59.611690521240234,65.67710304260254,59.61168944835663,0.81292724609375,NA,NA,20.272743225097656,15.068782806396484,20.987976531187694,17.946428606907528,0.811111111111111,NA,NA
19090,waveform_context,TimesFM,2048,1024,2048,1024,0.24645596742630005,0.1382034420967102,0.23266692968900315,0.13820343717816286,32,64,32.724159240722656,19.887643814086914,24.871214896440506,19.88764539361,0.602020263671875,NA,NA,15.979303359985352,8.803467750549316,13.2814379632473,10.267134894927343,0.5118812668812668,NA,NA
19090,waveform_context,Chronos-2,2048,1024,2048,1024,0.27936241030693054,0.13906237483024597,0.22981440147850662,0.13906237491755746,32,64,70.5228271484375,57.44794845581055,69.95041489601135,57.447948694229126,0.7637939453125,NA,NA,16.706392288208008,9.352941513061523,13.45083040211882,9.577759874718529,0.5476645378431092,NA,NA
19090,waveform_context,Moirai 2.0,2048,1024,2048,1024,0.23303315043449402,0.13558171689510345,0.22118071338627487,0.13558172015473247,32,64,71.37024688720703,58.63088607788086,65.8842962384224,58.630886882543564,0.834075927734375,NA,NA,26.45596694946289,11.2409086227417,24.093363936458314,21.0023504112448,0.679071127285413,NA,NA
19090,waveform_context,TimesFM,4096,256,4096,256,0.23771415650844574,0.12286350131034851,0.22379155026283115,0.12286350812064484,32,64,16.298084259033203,7.498019695281982,8.54929207265377,7.498019739985466,0.61376953125,NA,NA,17.292491912841797,9.890909194946289,13.117913277819753,11.218749984167516,0.7473958333333334,NA,NA
19090,waveform_context,Chronos-2,4096,256,4096,256,0.2742078900337219,0.12504616379737854,0.22492315212730318,0.12504616926889867,32,64,29.91921615600586,17.28258514404297,20.835857778787613,17.282585993409157,0.552001953125,NA,NA,12.245747566223145,5.827381134033203,7.629838946275413,6.044270856771618,0.7161458333333333,NA,NA
