subject_id,sweep_type,model,context_length,horizon,rr_context_beats,rr_horizon_beats,rmse,mae,window_rmse_mean,window_mae_mean,num_windows,num_series,rr_rmse,rr_mae,rr_window_rmse_mean,rr_window_mae_mean,rr_true_local_std_mean,rr_pred_local_std_mean,rr_local_std_ratio,rr_local_std_deficit,rr_ks_mean,rr_ks_cutoff_mean,rr_ks_pass_rate,waveform_rr_rmse,waveform_rr_mae,waveform_rr_window_rmse_mean,waveform_rr_window_mae_mean,waveform_rr_true_local_std_mean,waveform_rr_pred_local_std_mean,waveform_rr_local_std_ratio,waveform_rr_local_std_deficit,waveform_rr_ks_mean,waveform_rr_ks_cutoff_mean,waveform_rr_ks_pass_rate
16272,waveform_context,TimesFM,2048,256,2048,256,0.190653994679451,0.10822425782680511,0.18169478699564934,0.10822426300728694,32,64,78.01009368896484,16.054906845092773,78.01000738143921,16.054906219244003,NA,NA,NA,NA,0.5445502270228029,0.08499999999999999,0.0,29.222620010375977,14.576923370361328,17.442488389089704,15.523437511175871,NA,NA,NA,NA,0.546117449704199,0.9603265548136033,1.0
16272,waveform_context,Chronos-2,2048,256,2048,256,0.1968945860862732,0.10512915253639221,0.18702623283024877,0.10512915620347485,32,64,79.9760971069336,17.94013214111328,79.90592169761658,17.9401316344738,NA,NA,NA,NA,0.3415294157474605,0.08499999999999999,0.0,32.98448944091797,17.3984375,20.815061127766967,18.06770834326744,NA,NA,NA,NA,0.5266391401978253,0.9603265548136033,0.96875
16272,waveform_context,Moirai 2.0,2048,256,2048,256,0.1914973258972168,0.11412283778190613,0.18495884037110955,0.11412283859681338,32,64,99.28348541259766,47.112125396728516,98.02123427391052,47.11212408542633,NA,NA,NA,NA,0.40360034292625974,0.08499999999999999,0.0,33.990806579589844,28.45833396911621,32.516628689236114,29.61111111111111,NA,NA,NA,NA,0.46627572843173765,1.2272217408045683,1.0
16272,waveform_context,TimesFM,2048,512,2048,512,0.19610831141471863,0.1171652153134346,0.18784746387973428,0.1171652150223963,32,64,176.51663208007812,31.4405460357666,176.5075969696045,31.440546691417694,NA,NA,NA,NA,0.6179149886615474,0.060104076400856535,0.0,29.87493133544922,15.188461303710938,20.390236919745803,15.08697921782732,NA,NA,NA,NA,0.6293682257651141,0.6720702754843002,0.65625
16272,waveform_context,Chronos-2,2048,512,2048,512,0.1937389075756073,0.11431999504566193,0.18526636832393706,0.11431999516207725,32,64,187.5615692138672,50.52769470214844,187.48677825927734,50.5276939868927,NA,NA,NA,NA,0.3478685495746481,0.060104076400856535,0.0,34.21791458129883,19.7394962310791,25.773859726265073,19.40885414555669,NA,NA,NA,NA,0.47259410309150385,0.6875248334121652,0.890625
16272,waveform_context,Moirai 2.0,2048,512,2048,512,0.20403935015201569,0.1304972767829895,0.19306464598048478,0.130497265025042,32,64,204.9036865234375,90.32722473144531,204.85756158828735,90.327228307724,NA,NA,NA,NA,0.47893724161478174,0.060104076400856535,0.0,31.961402893066406,21.78125,28.473281681537628,24.692708373069763,NA,NA,NA,NA,0.46281462809427065,1.1037184253292491,0.8928571428571429
16272,waveform_context,TimesFM,2048,1024,2048,1024,0.18474076688289642,0.11068321019411087,0.17814392945729196,0.11068321182392538,32,64,197.76739501953125,29.576929092407227,196.1016812324524,29.576930940151215,NA,NA,NA,NA,0.39845985864179523,0.042499999999999996,0.0,92.0080795288086,22.200000762939453,40.544123784440465,25.02331995768625,NA,NA,NA,NA,0.616065304441619,0.5356768942141749,0.3225806451612903
16272,waveform_context,Chronos-2,2048,1024,2048,1024,0.1789880245923996,0.10761953890323639,0.17268500081263483,0.10761952365282923,32,64,215.20672607421875,73.6682357788086,214.11109161376953,73.66823196411133,NA,NA,NA,NA,0.4363440077180042,0.042499999999999996,0.0,120.35590362548828,33.737022399902344,81.96012677279386,66.68468262932517,NA,NA,NA,NA,0.4246004860250155,0.5762333102582573,0.6885245901639344
16272,waveform_context,Moirai 2.0,2048,1024,2048,1024,0.1952715516090393,0.12382109463214874,0.18487899203319103,0.12382109224563465,32,64,217.35855102539062,77.60649871826172,216.2728214263916,77.6065029501915,NA,NA,NA,NA,0.6084821402349709,0.042499999999999996,0.0,245.5707244873047,87.4202880859375,167.0494824886322,139.38321409225463,NA,NA,NA,NA,0.544218203555125,0.9642218525722717,0.7368421052631579
16272,waveform_context,TimesFM,4096,256,4096,256,0.17581939697265625,0.09948462247848511,0.16814372327644378,0.09948461753083393,32,64,78.00137329101562,16.045330047607422,78.00133848190308,16.04532879590988,NA,NA,NA,NA,0.4659324628651105,0.08499999999999999,0.0,23.265642166137695,11.167939186096191,12.742196409963071,10.604166716337204,NA,NA,NA,NA,0.5275499769806193,0.9506359188939661,1.0
16272,waveform_context,Chronos-2,4096,256,4096,256,0.18649522960186005,0.1015872061252594,0.17836822313256562,0.1015872040297836,32,64,78.6263198852539,15.161952018737793,78.62279915809631,15.161951750516891,NA,NA,NA,NA,0.2939519281057009,0.08499999999999999,0.0,28.16680335998535,15.516393661499023,17.56061575337062,14.94708990672278,NA,NA,NA,NA,0.5097051030239772,0.9658412065734725,0.984375
16272,waveform_context,Moirai 2.0,4096,256,4096,256,0.17468391358852386,0.10092337429523468,0.1700087677454576,0.1009233781369403,32,64,106.28010559082031,58.58517837524414,105.89252996444702,58.58518040180206,NA,NA,NA,NA,0.4665801042247091,0.08499999999999999,0.0,32.82818603515625,27.34482765197754,32.339063462756926,29.952380952380953,NA,NA,NA,NA,0.45779343345576223,1.1608326112068523,1.0
16272,waveform_context,TimesFM,4096,512,4096,512,0.18106123805046082,0.10533010214567184,0.17428462114185095,0.10533010365907103,32,64,177.07107543945312,32.27214050292969,177.06032133102417,32.27214062213898,NA,NA,NA,NA,0.602358342354458,0.060104076400856535,0.0,34.10382080078125,18.866666793823242,25.18192938156426,19.085677083581686,NA,NA,NA,NA,0.6251678288645361,0.6855384266465241,0.640625
16272,waveform_context,Chronos-2,4096,512,4096,512,0.1801747828722,0.10428065061569214,0.17311580781824887,0.10428065428277478,32,64,185.32553100585938,43.48735046386719,185.28046989440918,43.48735195398331,NA,NA,NA,NA,0.30600173234157546,0.060104076400856535,0.0,38.24894332885742,23.764976501464844,32.10870837588464,24.333064473444416,NA,NA,NA,NA,0.44094410349324864,0.7070695502175088,0.921875
16272,waveform_context,Moirai 2.0,4096,512,4096,512,0.1814260482788086,0.11222943663597107,0.17508940305560827,0.11222944379551336,32,64,207.36569213867188,96.59339904785156,207.351176738739,96.59340357780457,NA,NA,NA,NA,0.5640040131940954,0.060104076400856535,0.0,51.372615814208984,24.96363639831543,40.68179169297218,36.934027791023254,NA,NA,NA,NA,0.4888931700556563,0.9589965680283884,0.9666666666666667
16272,waveform_context,TimesFM,4096,1024,4096,1024,0.1765751987695694,0.10477597266435623,0.17059101397171617,0.10477597761200741,32,64,201.44541931152344,29.632413864135742,200.41279077529907,29.63241696357727,NA,NA,NA,NA,0.35807926183959743,0.042499999999999996,0.0,71.77389526367188,22.240184783935547,45.00385744692915,33.46483902001785,NA,NA,NA,NA,0.5960735553987014,0.5578076266491019,0.3770491803278688
16272,waveform_context,Chronos-2,4096,1024,4096,1024,0.17356018722057343,0.10259552299976349,0.16769621428102255,0.10259552818024531,32,64,218.72286987304688,73.61658477783203,217.9859595298767,73.61658024787903,NA,NA,NA,NA,0.4261793979182785,0.042499999999999996,0.0,56.18382263183594,25.621849060058594,48.9405203060228,38.74059762881727,NA,NA,NA,NA,0.41158248838847944,0.5845012695371472,0.7931034482758621
16272,waveform_context,Moirai 2.0,4096,1024,4096,1024,0.18633076548576355,0.11630753427743912,0.17761997936759144,0.11630753288045526,32,64,223.21771240234375,84.64047241210938,222.29525899887085,84.64047193527222,NA,NA,NA,NA,0.6687575148690293,0.042499999999999996,0.0,176.11895751953125,55.971832275390625,94.36364412307739,68.81439890180316,NA,NA,NA,NA,0.5441270186569657,0.9121812254265067,0.7575757575757576
16272,waveform_context,TimesFM,8192,256,8192,256,0.17233100533485413,0.0983167290687561,0.16428455477580428,0.09831673715962097,32,64,78.20951080322266,17.17820167541504,78.20909976959229,17.17820131778717,24.58382418346999,0.29313887023532237,0.011924054941477621,24.29068531323467,0.4467176260024339,0.08499999999999999,0.0,26.57109832763672,13.573643684387207,16.5014488697052,13.47395834326744,NA,NA,NA,NA,0.5404641097539394,0.9533932447739007,0.984375
16272,waveform_context,Chronos-2,8192,256,8192,256,0.17910313606262207,0.09987634420394897,0.16943696310045198,0.0998763432726264,32,64,78.2371826171875,14.157519340515137,78.23700714111328,14.157519221305847,24.58382418346999,1.1654944447964992,0.0474089969118869,23.41832973867349,0.17711800765474192,0.08499999999999999,0.0,30.20595932006836,16.96666717529297,21.225988621673277,16.85483870967742,NA,NA,NA,NA,0.4729184507431316,0.9659074920363264,1.0
16272,waveform_context,Moirai 2.0,8192,256,8192,256,0.17051218450069427,0.10235417634248734,0.16487904079258442,0.10235417116200551,32,64,116.95091247558594,76.12244415283203,116.84709191322327,76.12244403362274,NA,NA,NA,NA,0.5809483156129513,0.08499999999999999,0.0,35.5900993347168,27.068965911865234,32.233614110946654,31.025,NA,NA,NA,NA,0.4101666823896236,1.1687993067585782,1.0
16272,waveform_context,TimesFM,8192,512,8192,512,0.17905353009700775,0.10531671345233917,0.17186570342164487,0.10531672049546614,32,64,178.2352752685547,33.415863037109375,178.22526836395264,33.415861785411835,NA,NA,NA,NA,0.5687354619081867,0.060104076400856535,0.0,33.20414733886719,19.795555114746094,24.54362297371814,19.695029271276372,NA,NA,NA,NA,0.6186902379845513,0.7199335025633106,0.576271186440678
16272,waveform_context,Chronos-2,8192,512,8192,512,0.17809142172336578,0.1044401228427887,0.17049481347203255,0.10444013011874631,32,64,180.6951904296875,34.17595672607422,180.6187343597412,34.17595648765564,NA,NA,NA,NA,0.29884351076053295,0.060104076400856535,0.0,43.16636657714844,26.697298049926758,38.10347056597994,30.647660786645453,NA,NA,NA,NA,0.423250563448567,0.7085853750688773,0.9830508474576272
16272,waveform_context,Moirai 2.0,8192,512,8192,512,0.17810463905334473,0.11169181764125824,0.17209286778233945,0.11169182311277837,32,64,210.8024444580078,105.32920837402344,210.79908990859985,105.32921242713928,NA,NA,NA,NA,0.7357689212597676,0.060104076400856535,0.0,34.87399673461914,23.54347801208496,32.64629283704256,28.7236842607197,NA,NA,NA,NA,0.48634606865000607,0.991065953789839,0.9230769230769231
16272,waveform_context,TimesFM,8192,1024,8192,1024,0.17609943449497223,0.10555554181337357,0.1695716823451221,0.10555554181337357,32,64,206.6732635498047,29.672460556030273,206.66632080078125,29.672462344169617,63.309551023428114,0.41289713480309254,0.006521877475490187,62.89665388862502,0.3213665220699634,0.042499999999999996,0.0,73.88297271728516,21.079364776611328,39.974986444820054,29.80732391530817,NA,NA,NA,NA,0.5529194134222757,0.6301478398551706,0.4576271186440678
16272,waveform_context,Chronos-2,8192,1024,8192,1024,0.17475806176662445,0.1039842963218689,0.16822665138170123,0.10398429672932252,32,64,219.5367889404297,63.01256561279297,219.4492130279541,63.01256585121155,63.309551023428114,1.8861543258766087,0.029792571505974273,61.4233966975515,0.36702943818221817,0.042499999999999996,0.0,74.45185089111328,34.921688079833984,62.505840502134184,46.18176527721126,NA,NA,NA,NA,0.45099537427484876,0.6337004100508526,0.7966101694915254
16272,waveform_context,Moirai 2.0,8192,1024,8192,1024,0.18135017156600952,0.11659260839223862,0.17463623103685677,0.11659260099986568,32,64,232.2114715576172,97.23207092285156,231.79101943969727,97.23207092285156,63.309551023428114,0.5291761756712676,0.008358552021249408,62.780374847756846,0.7497198018216172,0.042499999999999996,0.0,122.83832550048828,56.191490173339844,80.17856570652553,54.26224511010306,NA,NA,NA,NA,0.5054039976361343,0.9948070396929731,0.8333333333333334
