sweep_type,model,context_length,horizon,rr_context_beats,rr_horizon_beats,rmse,mae,window_rmse_mean,window_mae_mean,num_windows,num_series,rr_rmse,rr_mae,rr_window_rmse_mean,rr_window_mae_mean,rr_ks_mean,rr_ks_cutoff_mean,rr_ks_pass_rate,waveform_rr_rmse,waveform_rr_mae,waveform_rr_window_rmse_mean,waveform_rr_window_mae_mean,waveform_rr_ks_mean,waveform_rr_ks_cutoff_mean,waveform_rr_ks_pass_rate
waveform_context,TimesFM,2048,256,2048,256,0.3099469219644864,0.1528441251979934,0.279977959640544,0.15284412396188904,576,1152,25.54952351252238,13.599058469136557,21.90298773182763,13.599058496455351,0.6895887586805556,NA,NA,21.10465497440762,12.900733576880562,16.08001685207124,14.306542635666814,0.6867711683455958,NA,NA
waveform_context,Chronos-2,2048,256,2048,256,0.30670735653903747,0.1444400292303827,0.27337711179603097,0.14444002939166645,576,1152,31.29295900132921,18.115709993574356,27.229067139741446,18.11570990540915,0.6039971245659722,NA,NA,18.072981516520183,10.788011895285713,12.820900014800287,11.139917941735822,0.7216789441987633,NA,NA
waveform_context,Moirai 2.0,2048,256,2048,256,0.3012968914376365,0.1508586990336577,0.2764475368247885,0.15085869879435954,576,1152,62.903489642673065,47.61579047309028,61.579496184157,47.61579122559892,0.6751708984375,NA,NA,20.628855016496445,14.410751117600334,17.839970431277898,15.707184261617819,0.7691582325433483,NA,NA
waveform_context,TimesFM,2048,512,2048,512,0.32272038029299843,0.1682242395149337,0.29807343550136367,0.1682242415416921,576,1152,28.924321466022068,12.945215622584024,26.25393495708704,12.945215546008614,0.6601325141059028,NA,NA,25.276689105563694,12.758348147074381,18.472014701857915,14.8496969045882,0.6121979784208891,NA,NA
waveform_context,Chronos-2,2048,512,2048,512,0.3105039662785,0.1551211319035954,0.2839827029036112,0.15512113005388528,576,1152,52.478054470486114,32.82984087202284,50.73354012270769,32.82984074619081,0.6512078179253472,NA,NA,25.83615101708306,12.684966961542765,17.245354537000196,13.614240687105701,0.6517949523740317,NA,NA
waveform_context,Moirai 2.0,2048,512,2048,512,0.3078010512722863,0.1634380780160427,0.28755149155363646,0.16343807713646027,576,1152,80.94810252719455,65.0884297688802,79.77063979580998,65.0884290854964,0.799102783203125,NA,NA,30.92892811033461,15.717210875617134,22.235121508699727,18.910920578218125,0.7193714521762047,NA,NA
waveform_context,TimesFM,2048,1024,2048,1024,0.33160338385237587,0.17884041534529793,0.30836142968716257,0.17884041794038946,576,1152,43.84799358579848,14.117921060985989,40.7676869697041,14.1179211590853,0.6219499376085069,NA,NA,32.52083592944675,13.041489044825235,23.435609837263637,17.60730728777943,0.575454872067946,NA,NA
waveform_context,Chronos-2,2048,1024,2048,1024,0.3134316909644339,0.16194322953621546,0.29011823355459554,0.16194322979976683,576,1152,84.3279766506619,53.21729405721029,82.17139388786421,53.21729418718152,0.74725341796875,NA,NA,45.10255506303575,17.426820278167725,31.16689928618819,23.131892779954384,0.6369740958687659,NA,NA
waveform_context,Moirai 2.0,2048,1024,2048,1024,0.3167485859658983,0.1744191874232557,0.29728259049847516,0.17441918566732462,576,1152,87.65003055996365,56.02425003051758,80.0397744178772,56.02425059303641,0.7843543158637153,NA,NA,50.031371381547714,19.11053246921963,35.392362045077924,29.68862831400607,0.7209440692157446,NA,NA
waveform_context,TimesFM,4096,256,4096,256,0.30198751472764546,0.15138810831639501,0.2815687618890984,0.15138810775372097,576,1152,18.684855646557278,8.997734930780199,17.99610471311543,8.997734896424744,0.6689385308159722,NA,NA,20.25645595126682,12.681895918316311,15.592858851522916,13.661197680903634,0.7058556881945132,NA,NA
