sweep_type,metric_type,model,context_length,horizon,rr_context_beats,rr_horizon_beats,step_index,rmse,mae,true_sdnn,pred_sdnn,sdnn_ratio,sdnn_deficit,true_rmssd,pred_rmssd,rmssd_ratio,rmssd_deficit,count
waveform_context,rr,TimesFM,8192,1024,8192,1024,16,23.250873380237156,8.589804450670878,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,16,NA,NA,6.2678675659777285,0.6354941354704855,0.11877190286700372,5.632373430507243,6.624989461713854,0.4307418251251487,0.07392360836172884,6.194247636588704,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,17,7.275190247429742,5.812332802348667,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,17,NA,NA,5.978982940618646,0.6148371494972066,0.11572247243975621,5.364145791121441,6.22687560981296,0.42369228960326627,0.07427788583139122,5.803183320209693,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,18,7.331977738274468,5.8248947858810425,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,18,NA,NA,5.971201696704952,0.5917838988685473,0.11149134737836652,5.379417797836405,6.23324390039639,0.4198723515636348,0.0736235882631402,5.813371548832755,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,19,7.502675241894192,5.949449022610982,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,19,NA,NA,5.965953268699682,0.5714892228883687,0.10800793848642751,5.394464045811312,6.1073343128705275,0.39871449083459004,0.07104312718326719,5.708619822035938,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,20,25.077808956305187,9.242389837900797,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,20,NA,NA,5.451469142217331,0.5609033250097906,0.1081281993548664,4.8905658172075395,5.559474266058258,0.3952052281844638,0.07212343111033326,5.164269037873794,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,21,7.497139566474491,5.992972440189785,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,21,NA,NA,5.433566486221792,0.54938286506716,0.10640254734053053,4.884183621154632,5.55103335345449,0.4019948997381235,0.07289706965493366,5.149038453716368,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,22,8.018431120448643,6.208639952871534,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,22,NA,NA,5.756983541870923,0.5408237645060404,0.10430601535809145,5.216159777364883,5.878918172836841,0.3984243735194449,0.07226164174624956,5.480493799317396,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,23,7.8677981164720325,6.283478564686245,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,23,NA,NA,6.683332952263908,0.5364383605176157,0.09868647942215697,6.146894591746292,7.019515949658403,0.3974238639846674,0.06783482582063262,6.622092085673734,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,24,7.843907117843628,6.27962675359514,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,24,NA,NA,6.70516591246308,0.5333745990271732,0.0973682930983232,6.171791313435907,7.129245114863874,0.40224191858744435,0.06735655617131289,6.727003196276431,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,25,13.139237854215834,7.221909178627862,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,25,NA,NA,6.002665908695706,0.5270209213763777,0.09943650389831273,5.4756449873193285,6.379845645377815,0.3968731929220214,0.06867338078259039,5.982972452455794,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,26,7.846435043546888,6.3110122548209295,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,26,NA,NA,6.003104313147686,0.5359637835680001,0.10043057364986777,5.467140529579686,6.366610482873633,0.41190005705224303,0.06988587806607692,5.954710425821392,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,27,7.9991269376542835,6.395415253109402,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,27,NA,NA,6.010979082201042,0.5509538478960252,0.10069503662688278,5.460025234305017,6.359646104765823,0.4342547171242711,0.07089466219926593,5.925391387641553,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,28,8.018401609526741,6.557301772965325,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,28,NA,NA,6.259498510355431,0.5552538559883842,0.10061315566404579,5.704244654367046,6.273500614603329,0.4645735367569107,0.0729427969524051,5.80892707784642,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,29,15.204616811540392,7.864196247524685,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,29,NA,NA,5.465366008172196,0.5536620059261391,0.10385479465787845,4.911704002246057,5.552987319784889,0.4670608840797963,0.07535130729042613,5.085926435705092,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,30,28.509587287902832,10.42306133111318,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,30,NA,NA,5.451120344343559,0.5589377152018576,0.10454233915957117,4.892182629141701,5.557687918956033,0.4642782438033224,0.07596143893017186,5.09340967515271,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,31,8.334262635972765,6.750708858172099,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,31,NA,NA,5.968030236130689,0.5554971955243949,0.10118631481948,5.412533040606293,6.127754438330209,0.46605340897726794,0.07386679645822293,5.661701029352941,1152
waveform_context,waveform_rr_variability,TimesFM,8192,1024,8192,1024,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
waveform_context,rr,TimesFM,8192,1024,8192,1024,32,8.454297105471293,6.916657633251614,NA,NA,NA,NA,NA,NA,NA,NA,1152
waveform_context,rr_variability,TimesFM,8192,1024,8192,1024,32,NA,NA,5.974053838040492,0.5499444943681898,0.09937536845301892,5.424109343672303,6.365493875235558,0.46967155498591723,0.07253576647823999,5.895822320249641,1152
